"prompt","o1","o2","o3","o4","answer"
"What does the regex ^abc match?","String ending with abc","String starting with abc","String containing abc anywhere","String exactly equal to abc","String starting with abc"
"What does the regex abc$ match?","String ending with abc","String starting with abc","String containing abc twice","Any string with abc","String ending with abc"
"What does the dot (.) match in regex?","A literal dot only","Any character except newline","Only alphabetical characters","Whitespace only","Any character except newline"
"What does the regex a* match?","One or more a's","Zero or more a's","Exactly one a","At least two a's","Zero or more a's"
"What does the regex a+ match?","Zero or more a's","One or more a's","Exactly two a's","Any character followed by a","One or more a's"
"What does a? mean in regex?","Zero or one occurrence","Exactly one occurrence","One or more occurrences","Zero or more occurrences","Zero or one occurrence"
"What does the regex [0-9] match?","Only 0","Any digit 0–9","Any number with multiple digits","Any non-digit","Any digit 0–9"
"What does the regex \d match?","A letter","A whitespace","A digit","A word boundary","A digit"
"What does the regex \s match?","A digit","A space or whitespace","A letter","A non-word character","A space or whitespace"
"What does the regex \w match?","A digit only","A whitespace","Any word character (letters, digits, underscore)","Any punctuation","Any word character (letters, digits, underscore)"
"What does the regex [A-Za-z]+ match?","Digits only","Lowercase only","One or more letters","One or more underscores","One or more letters"
"What do parentheses () do in regex?","Escape characters","Group expressions","Match a literal parenthesis","Replace characters","Group expressions"
"What does the regex (abc){2} match?","abcabc","abc","abcc","abcabcabc","abcabc"
"What does \b represent in regex?","A backspace","A word boundary","A whitespace","A literal b","A word boundary"
"What does the regex [^a] match?","Only a","Any vowel","Any character except a","Whitespace only","Any character except a"
"What does the pipe symbol (|) do in regex?","Concatenates strings","Specifies OR conditions","Repeats patterns","Creates comments","Specifies OR conditions"
"What does the regex \d{3} match?","Any three digits","Exactly one digit","Zero or more digits","Three letters","Any three digits"
"What does escaping a dot (\.) do?","Matches any character","Matches only numbers","Matches a literal dot","Matches whitespace","Matches a literal dot"
"What does the regex ^\s*$ detect?","A line with text","A line ending with spaces","An empty or whitespace-only line","A line with digits","An empty or whitespace-only line"
"What does lookahead (?=abc) check for?","Matches abc as output","Removes abc","Checks if abc follows without consuming characters","Checks if abc precedes","Checks if abc follows without consuming characters"
